city,year,people,air_general_level,net_salary,avg_age,ilm,birth,crimes,criminals,death,pens,preschool_child,length_of_roads,energy_consumption,migration_net,housing_stock,wage,workers,poverty_level,housing_price
Ачинск,2020,103621.0,2.0,38896.0,38.74,10776.0,9.9,2435.0,1209.0,13.5,43.1,6.5,195.8,209.6,99.0,25.29,42295.4,27.4,17.0,64078.7
Ачинск,2021,102436.0,4.0,42201.0,38.91,10776.0,9.9,2435.0,1209.0,13.5,43.1,6.5,265.3,197.0,486.0,25.63,42295.4,27.4,15.9,76014.02
Ачинск,2022,100873.0,4.0,45787.0,38.98,10776.0,9.9,2435.0,1209.0,13.5,43.1,6.5,263.1,191.6,-123.0,26.1,42295.4,27.4,14.0,85161.48
Байкальск,2015,13323.0,1.0,37615.0,37.24,10776.0,10.8,4785.5,1966.5,11.9,93.85,18.9,174.9,210.9,81.0,20.3,40126.3,84.1,17.6,43474.8
Байкальск,2016,13162.0,1.0,37615.0,37.32,10776.0,10.8,4785.5,1966.5,11.9,93.85,18.9,437.5,193.2,81.0,20.5,40126.3,84.1,17.6,45380.5
Байкальск,2017,12907.0,2.0,37615.0,37.42,10776.0,10.8,4785.5,1966.5,11.9,93.85,18.9,159.5,166.9,81.0,21.0,40126.3,84.1,17.6,46833.41
Байкальск,2018,12700.0,3.0,37615.0,37.56,10776.0,10.8,4785.5,1966.5,11.9,93.85,18.9,295.2,178.3,81.0,22.2,40126.3,84.1,17.6,65095.98
Байкальск,2019,12500.0,2.0,37615.0,37.71,10776.0,10.8,4785.5,1966.5,11.9,93.85,18.9,167.7,164.7,81.0,21.1,40126.3,84.1,17.9,56780.88
Байкальск,2020,12300.0,1.0,37615.0,37.88,10776.0,10.8,4785.5,1966.5,11.9,93.85,18.9,504.4,182.8,81.0,21.5,40126.3,84.1,17.6,79891.98
Байкальск,2021,12100.0,1.0,37615.0,38.02,10776.0,10.8,4785.5,1966.5,11.9,93.85,18.9,453.0,163.2,81.0,22.51,40126.3,84.1,16.4,84049.59
Байкальск,2022,11900.0,1.0,37615.0,38.05,10776.0,10.8,4785.5,1966.5,11.9,93.85,18.9,273.2,189.1,81.0,23.25,40126.3,84.1,13.9,96437.94
Балаково,2015,192104.0,1.0,20231.0,40.82,10776.0,10.8,1925.0,1228.0,13.5,60.7,9.6,198.3,159.9,-649.0,26.5,23524.7,39.1,15.6,38953.28
Балаково,2016,191213.0,1.0,20491.0,40.95,10776.0,10.6,1689.0,1048.0,13.5,61.1,9.8,294.8,161.4,-548.0,26.9,23827.1,36.9,15.6,38365.78
Балаково,2017,190605.0,1.0,22262.0,41.11,10776.0,8.9,2038.0,1164.0,12.7,61.5,9.8,405.6,199.4,-697.0,27.4,25885.5,34.9,15.6,34244.39
Балаково,2018,189839.0,2.0,24258.0,41.33,10776.0,8.5,2038.0,1164.0,13.1,61.7,9.8,363.3,180.3,-459.0,27.9,28207.5,34.7,15.6,38378.86
Балаково,2019,188565.0,1.0,26226.0,41.57,10776.0,7.3,2038.0,1164.0,12.7,61.1,9.5,486.5,198.8,39.0,28.4,30495.7,34.4,15.8,36962.62
Балаково,2020,187071.0,1.0,27757.0,41.83,10776.0,7.3,2038.0,1164.0,12.7,61.1,9.5,229.9,205.8,269.0,28.93,30495.7,34.4,15.2,41991.09
Балаково,2021,185850.0,3.0,29733.0,42.01,10776.0,7.3,2038.0,1164.0,12.7,61.1,9.5,394.6,209.4,548.0,29.62,30495.7,34.4,14.4,63289.16
Балаково,2022,184466.0,3.0,31850.0,42.1,10776.0,7.3,2038.0,1164.0,12.7,61.1,9.5,330.7,182.0,627.0,30.04,30495.7,34.4,12.9,72713.06
Балашиха,2020,507366.0,1.0,57302.0,39.74,10776.0,10.8,4785.5,1966.5,11.9,93.85,18.9,466.3,179.6,-748.0,26.1,40126.3,84.1,7.4,119110.28
Балашиха,2021,507307.0,1.0,62042.0,39.74,10776.0,10.8,4785.5,1966.5,11.9,93.85,18.9,464.7,212.3,11309.0,26.1,40126.3,84.1,6.6,149176.23
